x,y,z,arc_length
0.00017322204441080116,0.00011555073556728581,-0.005960864390263309,0
-0.2589217325022964,0.29163058115951984,0.04170569022592676,1
-0.2652624129692865,0.299132943275905,0.02142106886259256,2
-0.3047559576103718,0.3440550059906412,0.036408257624001704,3
-0.5591538971039989,0.6299944407031765,0.07727105511680724,4
-0.6300965047413996,0.5503307520417854,0.07426608425978878,5
-0.37587614630581995,0.2643808032278819,0.10349869290353511,6
-0.3350803655284634,0.21831281659470303,0.10746523526333165,7
-0.3286564665373935,0.2102504620730302,0.10929969030972245,8
-0.28889382984381223,0.16593168750669582,0.12287024527053805,9
0.17693878906953095,-0.3481463813931912,0.27378239914800195,10
0.18389939917500062,-0.35474564165617867,0.2976944775230401,11
0.22570830740686873,-0.40069324290979347,0.2961013001893903,12
0.4329995250195836,-0.6295866658021997,0.37918561466503997,13
0.629328693976516,-0.41492233260746547,0.4503906648332636,14
0.4212367827597487,-0.18349907752490177,0.5328361923480822,15
0.37617684366158854,-0.1348880309818769,0.5368677445440708,16
0.36903187150745403,-0.126013494187725,0.5514244245910511,17
-0.09081249542823108,0.3790006282274705,0.7291709011088772,18
-0.09864859451282706,0.38802320923163,0.7126675685724313,19
-0.142452403025876,0.43683967463473117,0.7380198914788745,20
-0.31818254630805215,0.6297799846346057,0.7975167132570831,21
-0.6299826575627105,0.28728134574935454,0.918357724629081,22
-0.45172386606314574,0.08962152119134688,0.9817623488424867,23
-0.3989407071078678,0.03202016742400063,0.9972735351517177,24
-0.3893675078061122,0.021990590094855093,1.0071400156652612,25
-0.01627871489654048,-0.3894566325185337,1.1519445800613615,26
-0.006376648332532237,-0.39985104011460315,1.1439964478093159,27
0.04570577123801916,-0.45752318704851086,1.16846619122086,28
0.20230607224319516,-0.6290728146108632,1.214502400034772,29
0.6297525892245028,-0.15920776990083996,1.3735682178622541,30
0.4597674659681476,0.02906708383770819,1.4445307348844278,31
0.38413017484399786,0.1118821557984711,1.4778396726308407,32
0.3675123098490015,0.1297652756136397,1.477368363410759,33
0.1643489824782743,0.3542674803900903,1.548486790418802,34
0.14735402304324047,0.3719300656611756,1.556230380844224,35
0.07296043838117254,0.45378304438709444,1.5766459820897039,36
-0.08753149785065936,0.6306052732667703,1.6459075227622022,37
-0.6305093943233114,0.03148571132385484,1.8471433476178367,38
-0.40780572626744727,-0.21255661771520287,1.9211755071899104,39
