trajectory_id,point_id,x,y,z,arc_length
0,0,0.0012036994,-0.086800836,-1.9435761,0
0,1,-0.013430588,-0.17666723,-3.6442497,1
0,2,-0.022433756,-0.27814934,-5.3108177,2
0,3,-0.02509457,-0.37696803,-6.754053,3
0,4,-0.023851762,-0.4573047,-7.8419952,4
0,5,-0.020129316,-0.5168253,-8.6175375,5
0,6,-0.013882451,-0.55937475,-9.180781,6
0,7,-0.010928363,-0.58616525,-9.540612,7
0,8,-0.009646991,-0.60297495,-9.775048,8
0,9,-0.011114735,-0.61340195,-9.928723,9
0,10,-0.015448425,-0.61982334,-10.028852,10
0,11,-0.022483813,-0.6237577,-10.093386,11
0,12,-0.031601112,-0.62615657,-10.134453,12
0,13,-0.042708144,-0.62760836,-10.160104,13
0,14,-0.054384526,-0.62848616,-10.175998,14
0,15,-0.066156484,-0.62901723,-10.185771,15
0,16,-0.0770315,-0.6293412,-10.191791,16
0,17,-0.085800305,-0.62954265,-10.195552,17
0,18,-0.092702806,-0.6296699,-10.197927,18
0,19,-0.09856953,-0.6297509,-10.199439,19
0,20,-0.102759846,-0.6298043,-10.200432,20
0,21,-0.10484223,-0.62984073,-10.201105,21
0,22,-0.105658546,-0.6298663,-10.201578,22
0,23,-0.10597103,-0.62988466,-10.201914,23
0,24,-0.10499767,-0.62989855,-10.202167,24
0,25,-0.105409175,-0.6299086,-10.202351,25
0,26,-0.10586349,-0.6299163,-10.202489,26
0,27,-0.106588565,-0.62992233,-10.202593,27
0,28,-0.108270265,-0.6299267,-10.202672,28
0,29,-0.109348334,-0.62993014,-10.202733,29
0,30,-0.11024111,-0.629933,-10.202783,30
0,31,-0.1104007,-0.6299352,-10.202822,31
0,32,-0.109886244,-0.62993735,-10.202858,32
0,33,-0.10941571,-0.62993914,-10.202888,33
0,34,-0.10876043,-0.6299407,-10.202915,34
0,35,-0.10833174,-0.62994206,-10.202938,35
0,36,-0.10449373,-0.6299439,-10.20297,36
0,37,-0.10417467,-0.62994516,-10.202994,37
0,38,-0.10449483,-0.6299462,-10.203014,38
0,39,-0.10488827,-0.6299472,-10.203033,39
0,40,-0.10670923,-0.6299478,-10.203045,40
0,41,-0.10918147,-0.6299481,-10.2030525,41
0,42,-0.10985604,-0.62994844,-10.20306,42
0,43,-0.10944471,-0.62994885,-10.203067,43
0,44,-0.108858615,-0.6299491,-10.203074,44
0,45,-0.10849935,-0.6299494,-10.203077,45
0,46,-0.10547422,-0.62995017,-10.203089,46
0,47,-0.10326021,-0.6299509,-10.2031,47
0,48,-0.10207763,-0.62995154,-10.20311,48
0,49,-0.100726634,-0.62995243,-10.203122,49
0,50,-0.09983122,-0.62995315,-10.203136,50
0,51,-0.09939116,-0.62995386,-10.203146,51
0,52,-0.09748635,-0.62995493,-10.203164,52
0,53,-0.096656084,-0.62995565,-10.203181,53
0,54,-0.098097816,-0.6299561,-10.203194,54
0,55,-0.09924721,-0.6299565,-10.203204,55
0,56,-0.09992265,-0.62995684,-10.203212,56
0,57,-0.09964961,-0.62995726,-10.20322,57
0,58,-0.09880265,-0.6299577,-10.203228,58
0,59,-0.09836872,-0.62995803,-10.203236,59
0,60,-0.09782245,-0.62995845,-10.203242,60
0,61,-0.097625986,-0.62995887,-10.20325,61
0,62,-0.09753477,-0.62995917,-10.203257,62
0,63,-0.09990721,-0.6299595,-10.2032585,63
0,64,-0.10174177,-0.62995964,-10.203259,64
0,65,-0.1012779,-0.62995994,-10.203263,65
0,66,-0.10533301,-0.6299597,-10.203257,66
0,67,-0.10855845,-0.62995946,-10.203251,67
0,68,-0.11054577,-0.62995917,-10.203244,68
0,69,-0.11221875,-0.6299587,-10.203236,69
0,70,-0.113394774,-0.6299583,-10.203227,70
0,71,-0.11395678,-0.62995774,-10.203217,71
0,72,-0.11427101,-0.6299572,-10.203204,72
0,73,-0.11508729,-0.62995654,-10.203195,73
0,74,-0.11556546,-0.62995595,-10.203184,74
0,75,-0.116300665,-0.62995535,-10.203171,75
0,76,-0.11864792,-0.6299544,-10.2031555,76
0,77,-0.11973986,-0.62995356,-10.20314,77
0,78,-0.11964755,-0.62995285,-10.203125,78
0,79,-0.11808988,-0.6299524,-10.2031145,79
0,80,-0.11513159,-0.62995225,-10.20311,80
0,81,-0.11274811,-0.62995213,-10.203109,81
0,82,-0.111105174,-0.6299521,-10.203108,82
0,83,-0.106628165,-0.62995267,-10.203118,83
0,84,-0.10364421,-0.62995315,-10.203127,84
0,85,-0.10131483,-0.62995374,-10.203141,85
0,86,-0.09977699,-0.6299543,-10.203155,86
0,87,-0.09770896,-0.62995505,-10.203171,87
0,88,-0.09806909,-0.6299555,-10.203181,88
0,89,-0.099243134,-0.6299559,-10.20319,89
0,90,-0.100213915,-0.62995625,-10.203198,90
0,91,-0.10315637,-0.6299561,-10.2032,91
0,92,-0.10535025,-0.6299561,-10.2032,92
0,93,-0.10725523,-0.6299559,-10.2032,93
0,94,-0.110386685,-0.6299555,-10.203194,94
0,95,-0.11314358,-0.629955,-10.203186,95
0,96,-0.1154337,-0.62995416,-10.203176,96
0,97,-0.11710153,-0.62995327,-10.20316,97
0,98,-0.118373096,-0.62995213,-10.203143,98
0,99,-0.12030993,-0.62995094,-10.203122,99
0,100,-0.12000571,-0.6299498,-10.203104,100
0,101,-0.11889122,-0.6299489,-10.20309,101
0,102,-0.11785629,-0.62994814,-10.203074,102
0,103,-0.11252842,-0.629948,-10.203073,103
0,104,-0.10854641,-0.62994814,-10.203074,104
0,105,-0.105543524,-0.62994826,-10.203079,105
0,106,-0.101507634,-0.6299487,-10.20309,106
0,107,-0.1020925,-0.6299487,-10.203092,107
0,108,-0.103934504,-0.6299485,-10.203094,108
0,109,-0.1059772,-0.62994826,-10.203091,109
0,110,-0.111316435,-0.62994736,-10.203074,110
0,111,-0.11118649,-0.629947,-10.203068,111
0,112,-0.108598284,-0.629947,-10.203068,112
0,113,-0.10305694,-0.62994754,-10.203077,113
0,114,-0.10273122,-0.6299477,-10.203081,114
0,115,-0.105524756,-0.6299474,-10.203077,115
0,116,-0.11077455,-0.6299466,-10.203066,116
0,117,-0.11107868,-0.6299465,-10.20306,117
0,118,-0.107708395,-0.62994665,-10.203063,118
0,119,-0.102149345,-0.62994736,-10.203075,119
0,120,-0.10144629,-0.6299477,-10.203082,120
0,121,-0.10260967,-0.62994784,-10.20309,121
0,122,-0.10450271,-0.6299479,-10.20309,122
0,123,-0.10606645,-0.6299479,-10.203089,123
